ip,anonymityLevel,asn,country,isp,latency,org,port,protocols,speed,upTime,upTimeSuccessCount,upTimeTryCount,updated_at,responseTime
"213.171.44.82","elite","AS8732","RU","JSC Comcor","43","Comcor","3629","socks4","1","66","2101","3171","2025-06-10T21:15:19.748Z","4291"
"131.72.191.107","elite","AS61740","BR","Telecab Telecomunicações Ltda","220","Telecab Telecomunicações Ltda","1080","socks5","1","39","3811","9766","2025-06-10T21:15:19.761Z","4994"
"171.217.69.113","elite","AS4134","CN","Chinanet","274","Chinanet SC","10800","socks4","1","95","826","873","2025-06-10T21:15:19.831Z","3522"
"103.124.139.178","elite","AS138089","ID","Global Media Data Prima","174","N/A","4145","socks4","1","96","3099","3222","2025-06-10T21:15:19.933Z","4513"
"197.234.13.29","elite","AS36902","SC","Intelvision","121","Intelvision Ltd","4145","socks4","1","99","9777","9856","2025-06-10T21:15:19.764Z","4887"
"197.234.13.60","elite","AS36902","SC","Intelvision","120","Intelvision Ltd","4145","socks4","1","99","9835","9928","2025-06-10T21:15:19.761Z","389"
"213.165.185.211","elite","AS12709","MT","Melita Cable plc","53","Melita plc","4153","socks4","1","97","3128","3227","2025-06-10T21:15:19.832Z","3479"
"184.181.217.194","elite","AS22773","US","Cox Communications Inc.","159","Cox Communications","4145","socks4","1","100","1706","1710","2025-06-10T21:15:19.755Z","222"
"198.12.250.231","elite","AS398101","US","GoDaddy.com, LLC","141","GoDaddy.com, LLC","7684","socks4","1","100","1494","1495","2025-06-10T21:15:19.827Z","3475"
"110.78.152.199","elite","AS131090","TH","CAT-BB","205","N/A","5678","socks4","1","77","7630","9857","2025-06-10T21:15:19.763Z","4113"
"51.210.182.122","elite","AS16276","FR","OVH SAS","19","OVH","7497","socks5","61","39","3849","9888","2025-06-10T21:15:19.762Z","4092"
"8.213.129.20","elite","AS45102","KR","Alibaba (US) Technology Co., Ltd.","231","Alibaba.com Singapore E-Commerce Private Limited","808","socks4","1","79","86","109","2025-06-10T21:15:19.750Z","3624"
"170.81.108.153","elite","AS266416","BR","L3 NETWORKS E TELECOMUNICACOES LTDA","227","L3 NETWORKS E TELECOMUNICACOES LTDA","4153","socks4","1","99","3214","3234","2025-06-10T21:15:19.830Z","4894"
"125.27.70.126","elite","AS23969","TH","TOT Public Company Limited","195","TOT Public Company Limited","4153","socks4","1","38","1146","3045","2025-06-10T21:15:19.828Z","5006"
"49.156.34.190","elite","AS24492","KH","WiCAM Corporation Ltd.","284","WiCAM Corporation Ltd.","24492","socks5","1","94","9317","9909","2025-06-10T21:15:19.751Z","4299"
"181.78.206.170","transparent","AS52468","EC","Ufinet Panama S.A.","167","Negocios Y Telefonia Nedetel S.A","999","http","23299","100","12","12","2025-06-10T21:15:19.834Z","1037"
"89.161.90.155","elite","AS39375","PL","Telekomunikacja Podlasie Sp. z o.o.","27","Telekomunikacja Podlasie sp. z o.o.","5678","socks4","1","100","9903","9941","2025-06-10T21:15:19.759Z","5006"
"2.197.124.172","elite","AS16232","IT","Telecom Italia Mobile","42","N/A","4153","socks4","1","79","7706","9812","2025-06-10T21:15:19.828Z","4300"
"143.244.56.82","elite","AS60068","FR","Datacamp Limited","12","Cdn77 PAR","10680","socks4","1","100","755","755","2025-06-10T21:15:19.830Z","4305"
"177.36.13.65","elite","AS52965","BR","1telecom Servicos De Tecnologia EM Internet Ltda","182","1telecom Servicos De Tecnologia EM Internet Ltda","5678","socks4","1","96","9490","9881","2025-06-10T21:15:19.757Z","4100"
"45.131.5.194","elite","AS209242","BZ","Cloudflare London, LLC","4","Inter Networks","80","socks4","1","100","370","370","2025-06-10T21:15:19.829Z","3915"
"77.99.40.240","elite","AS5089","GB","Virgin Media","32","N/A","9090","socks4","1","97","9708","9958","2025-06-10T21:15:19.754Z","3406"
"104.21.31.189","elite","AS13335","CA","Cloudflare, Inc.","7","Cloudflare, Inc.","80","socks4","1","100","9893","9893","2025-06-10T21:15:06.658Z","3606"
